Allelúia;Alléluia
R/. Allelúia;R/. Allelúia
V/. Post partum, Virgo inviolata permansisti : Dei Génitrix intercéde pro nobis.;V/. Après ton enfantement, tu es demeurée Vierge : Mère de Dieu, intercède pour nous.
R/. Allelúia;R/. Allelúia
