Graduale;Graduel
R/. Beáta gens, cuius est Dóminus Dens eórum: pópulus, quem elégit Dóminus in hereditátem sibi.;
V/. Verbo Dómini cæli firmáti sunt: et spíritu oris ejus omnis virtus eórum.;
R/. Beáta gens;
