Antiphona ad introitum.;Antienne d'introït.
Ant. Dóminus illuminátio mea, et salus mea, quem timébo? Dóminus defénsor vitae meae, a quo trepidábo? Qui tríbulant me inimíci mei, ipsi infirmáti sunt et cecidérunt.;Ant. Le Seigneur est ma lumière et mon salut, qui craindrais-je ? Le Seigneur est le défenseur de ma vie, devant qui tremblerai-je ? Mes ennemis qui me persécutent s'affaissent et succombent.
Ps. Si consístant advérsum me castra: non timébit cor meum.;Ps. Si une armée se dresse contre moi, mon cœur sera sans crainte.
Ant. Dóminus illuminátio mea.;Ant. Le Seigneur est ma lumière.
V/. Glória Patri;V/. Gloire au Père.
Ant. Dóminus illuminátio mea.;Ant. Le Seigneur est ma lumière.
