Antiphona ad introitum.;Antienne d'introït.
Ant. Spíritus Dómini replévit orbem terrárum, et hoc quod cóntinet ómnia sciéntiam habet vocis, allelúia.;
V/. Exsurgat Deus, et dissipentur inimici eius* et fugiant, qui oderunt eum, a facie eius.;
Ant. Spíritus Dómini;
V/. Glória Patri.;
Ant. Spíritus Dómini;
