Antiphona ad introitum.;Antienne d'introït.
Ant. Respice, Dómine, in testaméntum tuum, et ánimas páuperum tuórum ne derelínquas in finem: esúrge Dómine, et iúdica causam tuam: et ne obliviscáris voces quæréntium.;
Ps. Ut quid Deus repulísti in finem: irátus est furor tuus super ovez páscuæ tuæ?;
Ant. Respice, Dómine;
V/. Glória Patri.;
Ant. Respice, Dómine;
