Antiphona ad introitum.;Antienne d'introït.
Ant. Deus in loco sancto suo: Deus, qui inhabitáre facit unánimes in domo: ipse dabit virtútem et fortitúdinem lebi suæ.;
Ps. Exsúrgat Deus, et dissipéntur inimíci eius: et fúgiant, qui odérunt eum, a fácie eius.;
Ant. Deus in loco sancto suo ;
V/. Glória Patri.;
Ant. Deus in loco sancto suo ;
