Graduale;Graduel
R/. Hódie sciétis, quia véniet Dóminus, et salvábit nos: et mane vidébitis glóriam eius.;
V/. Qui regis Israël, inténde: qui dedúcis, velut ovem, Ioseph: qui sedes super Chérubim, appáre coram Ephraim, Bénjamin, et Manásse.;
R/. Hódie sciétis;
