Graduale;Graduel
R/. Misit Dóminus verbum suum et sanávit eos: et erípuit eos de intéritu eórum.;
V/. Confiteántur Dómino misericórdiæ eius, et mirabília eius fíliis hóminum.;
R/. Misit Dóminus;
