Antiphona ad introitum.;Antienne d'introït.
Ant. Roráte, cæli, désuper, et nubes pluant iustum: aperiátur terra, et gérminet Salvatórem.;
Ps. Cæli enárrant glóriam Dei: et ópera mánuum eius annúntiat firmaméntum.;
Ant. Roráte, cæli, désuper,;
V/. Glória Patri.;
Ant. Roráte, cæli, désuper,;
