Graduale;Graduel
R/. Vidérunt omnes fines terræ salutáre Dei nostri: iubiláte Deo, omnis terra.;
V/. Notum fecit Dóminus salutáre suum: ante conspéctum géntium revelávit iustítiam suam.;
R/. Vidérunt omnes;
