Antiphona ad introitum.;Antienne d'introït.
"Ant. Suscépimus, Deus, misericórdiam tuam in médio templi tui. Secúndum nomen tuum, Deus, ita et laus tua in fines terrae; iustítia plena est déxtera tua.";
Ps. ;
Ant. Suscépimus, Deus,;
V/. Glória Patri;V/. Gloire au Père.
Ant. Suscépimus, Deus,;
