Antiphona ad introitum.;Antienne d'introït.
Ant. Puer natus est nobis, et fílius datus est nobis: cuius impérium super húmerum eius: et vocábitur nomen eius, magni consílii Angelus.;
Ps. Cantáte Dómino cánticum novum, quia mirabília fecit.;
Ant. Puer natus;
V/. Glória Patri.;
Ant. Puer natus;
