Allelúia;Alléluia
R/. Allelúia;R/. Alléluia
V/. Te decet hymnus, Deus, in Sion: et tibi reddétur votum in Ierúsalem.;"V/. A toi nos hymnes en Sion, ô Dieu ; oui c'est bien juste ! À toi nos vœux en Jérusalem."
R/. Allelúia;R/. Alléluia
