Antiphona ad communionem.;Antienne de communion.
Ant. Factus est repente de caelo sonus advenientis spiritus vehementis, ubi erant sedentes, alleluia.;
et repleti sunt omnes Spiritu Sancto, loquentes magnalia Dei, alleluia, alleluia.;
