Antiphona ad introitum.;Antienne d'introït.
Ant. Hódie sciétis, quia véniet Dóminus, et salvábit nos, et mane vidébitis glóriam eius.;
Ps. Dómini est terra, et plenitúdo eius: orbis terrárum, et univérsi, qui hábitant in eo.;
Ant. Hódie sciétis;
V/. Glória Patri.;
Ant. Hódie sciétis;
