Antiphona ad introitum.;Antienne d'introït.
Ant. Salve, sancta Parens, eníxa puérpera Regem, qui caelum terrámque regit in saecula saeculórum.;
Ps. Eructávit cor meum verbum bonum, dico ego ópera mea regi.;
Ant. Salve, sancta Parens;
V/. Glória Patri.;
Ant. Salve, sancta Parens;
