vig_1;ps6
vig_2;ps9AI
vig_3;ps9AII
ps1;ps5
ps2;AT4
ps3;ps28
ps4;ps18B
ps5;ps7I
ps6;ps7II
ps7;ps10
ps8;ps14
ps9;NT4
