vig_1;ps102I
vig_2;ps102II
vig_3;ps102III
ps1;ps107
ps2;AT30
ps3;ps145
ps4;ps118XIX
ps5;ps93I
ps6;ps93II
ps7;ps138I
ps8;ps138II
ps9;NT6
