Lectio brevis (Rom 11, 33-36);Lecture brève (Rom 11, 33-36)
O altitúdo divitiárum et sapiéntiæ et sciéntiæ Dei! Quam incomprehensibília sunt iudícia eius et investigábiles viæ eius! Quis enim cognóvit sensum Dómini? Aut quis consiliárius eius fuit? Aut quis prior dedit illi, et retribuétur ei? Quóniam ex ipso et per ipsum et in ipsum ómnia. Ipsi glória in sæcula. Amen.;"O profondeur inépuisable et de la sagesse et de la science de Dieu! Que ses jugements sont insondables et ses voies incompréhensibles! Car "" qui a connu la pensée du Seigneur ou qui a été son conseiller? "" Ou bien "" qui lui a donné le premier, pour qu'il ait à recevoir en retour? De lui, par lui et pour lui sont toutes choses. A lui la gloire dans tous les siècles! Amen!"
;
