vig_1;ps34I
vig_2;ps34II
vig_3;ps34III
ps1;ps50
ps2;AT27
ps3;ps99
ps4;ps118IV
ps5;ps25
ps6;ps27
ps7;ps40
ps8;ps45
ps9;NT11
