vig_1;ps54I
vig_2;ps54II
vig_3;ps54III
ps1;ps50
ps2;AT6
ps3;ps147
ps4;ps118XXI
ps5;ps132
ps6;ps139
ps7;ps144I
ps8;ps144II
ps9;NT11
