vig_1;ps144I
vig_2;ps144II
vig_3;ps144III
ps1;ps92
ps2;AT41
ps3;ps148
ps4;ps117I
ps5;ps117II
ps6;ps117III
ps7;ps109
ps8;ps110
ps9;NT12
