vig_1;ps23
vig_2;ps65I
vig_3;ps65II
ps1;ps117
ps2;AT40
ps3;ps150
ps4;ps22
ps5;ps75I
ps6;ps75II
ps7;ps109
ps8;ps111
ps9;NT12
