vig_1;ps49I
vig_2;ps49II
vig_3;ps49III
ps1;ps83
ps2;AT17
ps3;ps95
ps4;ps118XII
ps5;ps70I
ps6;ps70II
ps7;ps122
ps8;ps123
ps9;NT4
