jour;Die 28 iunii;Le 28 juin
intitule;S. IRENÆI, EPISCOPI ET MARTYRIS;S. IRENEE, EVEQUE ET MARTYR
rang;Memoria;Mémoire
ant_invit;Regem mártyrum Dóminum, veníte, adorémus.;Le roi des martyrs, le Seigneur, venez, adorons.
HYMNUS_laudes;hy_Martyr Dei;
LB_matin;LB_2 Cor 1, 3-5;
RB_matin;"R/. Fortitúdo mea * Et laus mea Dóminus. Fortitúdo. 
V/. Et factus est mihi in salútem. * Et laus mea Dóminus. Glória Patri. Fortitúdo.
";"R/. Ma force * et ma louange, c'est le Seigneur. Ma force. 
V/. Et il s'est fait pour moi le salut. * Et ma louange c'est le Seigneur. Gloire au Père. Ma force.
"
benedictus;Irenæus, nómini suo vere respóndens, vitæ institúto ac propósito pacíficus, pro Ecclesiárum pace strénue certávit.;Irénée, répondant bien à son nom, consacrant sa vie à la recherhce de la paix, a lutté pour la paix des Églises.
oratio;Deus, qui beáto Irenæo epíscopo tribuísti, ut veritátem doctrínæ pacémque Ecclésiæ felíciter, confirmáret, concéde, quæsumus, eius intercessióne, ut nos, fide et caritáte renováti, ad unitátem concordiámque fovéndam semper simus inténti. Per Dóminum.;"Dieu, qui as donné, au bienheureux évêque Irénée de faire triompher la vraie doctrine et d’affermir la paix dans l’Église ; donne-nous, par son intercession, que par la rénovation de notre foi et de notre charité, nous cherchions toujours et en toute chose ce qui favorise l'unité et la concorde."
