Psalmus 6;Psaume 6
Homo afflictus domini clementiam implorat;L'affligé implore la clémence du Seigneur
Nunc anima mea turbata est ... Pater, salvifica me ex hora hac (Io 12, 27).;Maintenant, mon âme est troublée ... Père, sauve-moi de cette heure.
;
Dómine, ne in furóre tuo árguas me, * neque in ira tua corrípias me.;Seigneur, ne me punis pas dans ta colère, et ne me châtie pas dans ta fureur.
"Miserére mei, Dómine, quóniam infírmus sum; * sana me, Dómine, quóniam conturbáta sunt ossa mea.";"Aie pitié de moi, Seigneur, car je suis sans force; guéris-moi, Seigneur, car mes os sont tremblants."
Et ánima mea turbáta est valde, * sed tu, Dómine, úsquequo?;"Mon âme est dans un trouble extrême; et toi, Seigneur, jusques à quand?"
"Convértere, Dómine, éripe ánimam meam; * salvum me fac propter misericórdiam tuam.";"Reviens, Seigneur, délivre mon âme; sauve-moi à cause de ta miséricorde."
Quóniam non est in morte, qui memor sit tui, * in inférno autem quis confitébitur tibi?;"Car celui qui meurt n'a plus souvenir de toi; qui te louera dans le schéol?"
