Psalmus 86 (87) ;Psaume 86 (87)
Ierusalem omnium gentium mater;Jérusalem, mère de toute nation
Illa quæ sursum est Ierusalem, libera est, quæ est mater nostra (Gal 4, 26).;La Jéeusalem den-haut est libre, et c’est elle notre mère (Gal 4,26)

"Fundaménta eius in móntibus sanctis; díligit Dóminus portas Sion * super ómnia tabernácula Iacob.";II l'a fondée sur les saintes montagnes ! le Seigneur aime les portes de Sion, plus que toutes les demeures de Jacob.
Gloriósa dicta sunt de te, * cívitas Dei!;Des choses glorieuses ont été dites sur toi, cité de Dieu !
"Memor ero Rahab et Babylónis inter sciéntes me; ecce Philistæa et Tyrus cum æthiópia: * hi nati sunt illic.";"Je nommerai Rahab et Babylone parmi ceux qui me connaissent ; voici les Philistins, et Tyr, avec l'Ethiopie : c'est là qu'ils sont nés. """
"Et de Sion dicétur: «Hic et ille natus est in ea; * et ipse firmávit eam Altíssimus».";"Et l'on dira de Sion : Celui-ci et celui-là y est né ; c'est Lui, le Très-Haut, qui l'a fondée."
Dóminus réferet in librum populórum: * «Hi nati sunt illic».;"le Seigneur inscrira au rôle des peuples : ""Celui-ci est né là."""
Et cantant sicut choros ducéntes: * «Omnes fontes mei in te».;"Et chanteurs et musiciens disent : ""Toutes mes sources sont en toi."""
