DOMINICA IN PALMIS DE PASSIONE DOMINI;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Qui pati pro ímpiis dignátus est ínnocens, et pro scelerátis indébite condemnári. Cuius mors delícta nostra detérsit, et iustificatiónem nobis resurréctio comparávit. Unde et nos cum ómnibus Angelis te laudámus, iucúnda celebratióne clamántes: ;;
1;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Cuius salutíferae passiónis et gloriósae resurrectiónis dies appropinquáre noscúntur, quibus et de antíqui hostis supérbia triumphátur, et nostrae redemptiónis recólitur sacraméntum. Per quem maiestátem tuam adórat exércitus Angelórum, ante conspéctum tuum in aeternitáte laetántium. Cum quibus et nostras voces ut admítti iúbeas, deprecámur, sócia exsultatióne dicéntes: ;;De victoria Passionis
