ant11;Miserére mei, Dómine, et exáudi oratiónem meam.;Prends pitié de moi, Seigneur, et écoute ma prière.
ps11;ps4;
ant12;In nóctibus benedícite Dóminum.;Bénissez le Seigneur au long des nuits.
ps12;ps133;
LB_comp;LB_Deut 6, 4-7;
oratio;"Vísita, quæsumus, Dómine, habitatiónem istam, et omnes insídias inimíci ab ea longe repélle; ángeli tui sancti hábitent in ea, qui nos in pace custódiant; et benedíctio tua sit super nos semper. Per Christum Dóminum nostrum.";"Nous t'en supplions, Seigneur, visite cette maison, et repousse loin d'elle toutes les embûches de l'ennemi; que tes saints anges viennent l'habiter pour nous garder dans la paix; et que ta bénédiction demeure à jamais sur nous. Par le Christ notre Seigneur."
