vig_1;;
vig_2;;
vig_3;;
ps1;ps75;
ps2;ps91;
ps3;AT27;
pst1;ps12;
pst2;ps13;
pst3;ps14;
ps4;ps15;
ps5;ps16I;
ps6;ps16II;
psn1;ps18A;
psn2;ps18B;
psn3;ps19;
ps7;ps141;
ps8;ps143I;
ps9;ps143II;
ps10;ps144I;
ant1;Spíritu prinicipáli confírma cor meum, Deus.;"Affermis mon c&oelig;ur, ô mon Dieu, par un esprit de force. "
ant2;In Israel magnum nomen eius.;En Israel grand est son nom.
ant3;Bonum est confitéri Dóminus.;Il est bon de louer le Seigneur.
antl4;In Dómino iustificábitur, et laudábitur omne semen Israel.;C'est dans le Seigneur que toute la descendance d'Israël obtiendra justice et louange.
antl5;"In T&yacute;mpano et choro, in chordis et órgano laudáte Deum.";Avec vos danses, avec le tambourin avec les instruments à cordes et le chalumeau, louez Dieu.
ant7;Pórtio mea, Dómine, sit in terra vivéntium.;Mon partage, Seigneur,  sur la terre des vivants !
ant8;Benedíctus Dóminus Deus meus.;Béni soit le Seigneur mon Dieu.
ant9;;
antv10;Per síngulos dies benedícam te, Dómine.;Chaque jour je te bénirai, Seigneur.
