vig_1;;
vig_2;;
vig_3;;
ps1;ps87;
ps2;ps89;
ps3;AT36;
pst1;ps9AI;
pst2;ps9AII;
pst3;ps9AIII;
ps4;ps9BI;
ps5;ps9BII;
ps6;ps9BIII;
psn1;ps10;
psn2;ps11I;
psn3;ps11II;
ps7;ps138I;
ps8;ps138II;
ps9;ps139;
ps10;ps140;
ant1;Tibi soli peccávi, Dómine, miserére me.;Contre toi seul que j'ai péché, Seigneur, aie pitié de moi.
ant2;Intret orátio mea in conspéctu tuo, Dómine.;Que ma prière arrive en ta présence, Seigneur.
ant3;Dómine, refúgium factus es nobis.;Seigneur, tu as été pour nous un refuge.
antl4;Pópulus meus, ait Dóminus, bonis meis adimplébitur.;Mon peuple se rassasiera de mes biens, dit le Seigneur.
antl5;In Sanctis eius laudáte Deum.;Dans ses Saints louez Dieu.
ant7;Dómine, probásti me, et cognovísti me.;Seigneur, tu me scrutes et tu me connais.
ant8;;
ant9;A viro iníquo líbera me, Dómine.;De l'homme méchant libère-moi, Seigneur.
antv10;Dómine, clamávi ad te, exáudi me.;Seigneur, je crie vers toi, exauce-moi.
