vig_1;;
vig_2;;
vig_3;;
ps1;ps63;
ps2;ps64;
ps3;AT7;
pst1;ps1;
pst2;ps2I;
pst3;ps2II;
ps4;ps6I;
ps5;ps6II;
ps6;ps8;
psn1;ps7A;
psn2;ps7B;
psn3;ps7C;
ps7;ps134;
ps8;ps135;
ps9;ps136;
ps10;ps137;
ant1;Amplius lava me,  Dómine, ab iustítia mea.;Lave-moi complètement, Seigneur,  de ma justice.
ant2;A timóre inimíci eripe, Dómine, ánimam meam.;Sauve ma vie, seigneur, contre un ennemi qui m'épouvante.
ant3;Te decet hymnus, Deus, in Sion.;A toi est due la louange, ô Dieu, dans Sion.
antl4;Dómine, magna es tu, et præclárus in virtúte tua.;Seigneur, tu es grand et glorieux dans ta puissance.
antl5;Cæli cælórum Laudáte Deum.;Cieux des cieux louez Dieu.
ant7;Omnia, quæcúmque vóluit, Dóminus fecit.;Tout ce que veut le Seigneur, il le fait.
ant8;Quóniam in æternum misericórdia eius.;Car sa miséricorde est éternelle.
ant9;Hymnus cantáte nobis de cánticis Sion;Chantez-nous un cantique de Sion !
antv10;In conspéctu angelórum psallam tibi, Deus meus.;Je vous chanterai des hymnes en présence des anges.
