HYMNUS_laudes;hy_Magnis prophétæ;
ant1;"Ad te, Dómine, levávi ánimam meam; veni et éripe me, Dómine, ad te confúgi.";"Vers toi, Seigneur, j'élève mon âme ! Viens me délivrer ; Seigneur, j'ai un abri auprès de toi."
ant2;Da mercédem, Dómine, sustinéntibus te, ut prophétæ tui fidéles inveniántur.;Donne leur récompense à ceux qui t'attendent, Seigneur, pour que tes prophètes soient jugés véridiques.
ant3;Convértere, Dómine, aliquántulum, et ne tardes veníre ad servos tuos.;Reviens, Seigneur, encore un peu ! Ne fais plus attendre tes serviteurs.
HYMNUS_tertiam;hy_Certum tenéntes;
HYMNUS_sextam;hy_Dicámus laudes;
HYMNUS_nonam;hy_Ternis horárum;
HYMNUS_vesperas;hy_Verbum salútis;
ant7;"Ad te, Dómine, levávi ánimam meam; veni et éripe me, Dómine, ad te confúgi.";"Vers toi, Seigneur, j'élève mon âme ! Viens me délivrer ; Seigneur, j'ai un abri auprès de toi."
ant8;Da mercédem, Dómine, sustinéntibus te, ut prophétæ tui fidéles inveniántur.;Donne leur récompense à ceux qui t'attendent, Seigneur, pour que tes prophètes soient jugés véridiques.
ant9;Convértere, Dómine, aliquántulum, et ne tardes veníre ad servos tuos.;Reviens, Seigneur, encore un peu ! Ne fais plus attendre tes serviteurs.
