HYMNUS_laudes;;
ant1;;
ant2;;
ant3;;
LB_matin;;
RB_matin;;
benedictus;;
oratio_laudes;;
preces_matin;;
HYMNUS_tertiam;;
HYMNUS_sextam;;
HYMNUS_nonam;;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âmeest troublée, et parce que je suis enceinte du Roi, quin'a pas brisé le sceau de ma virginité.
LB_3;;
RB_3;;
oratio_3;;
LB_6;;
RB_6;;
oratio_6;;
LB_9;;
RB_9;;
oratio_9;;
HYMNUS_vesperas;;
ant7;;
ant8;;
ant9;;
LB_soir;;
RB_soir;;
magnificat;;
oratio_vesperas;;
preces_soir;;
