Hymnus;Hymne
Doctor egrégie, Paule, mores ínstrue ;O Paul, notre maître, enseigne-nous à vivre
et mente polum nos transférre sátage, ;déjà, transporte-nous en esprit dans le ciel
donec perféctum largiátur plénius, ;en attendant le jour de la vraie plénitude
evacuáto quod ex parte gérimus.;où s'évanouira tout ce qui est imparfait

Sit Trinitáti sempitérna glória, ;Rendons puissance, honneur, gloire et jubilation
honor, potéstas atque iubilátio, ;à la Trinité sainte, à l'unité divine
in unitáte, cui manet impérium ;C'est elle qui détient le pouvoir souverain
ex tunc et modo per ætérna sæcula. Amen.;depuis toujours, et maintenant, et pour les siècles
