HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Surréxit Christus et illúxit pópulo suo, quem redémit sánguine suo, allelúia.;Le Christ est ressucité et s'est mis à briller sur son peuple, qu'il a racheté par son sang, alléluia.;
ant2;Redémptor noster surréxit de sepúlcro: hymnum dicámus Dómino Deo nostro, allelúia.;Notre Rédempteur s'est levé du tombeau, nous dédions cette hymne au Seigneur notre Dieu, alléluia.;
ant3;Allelúia, resurréxit Dóminus sicut dixit vobis, allelúia.;Alléluia, le Seigneur est ressucité comme Il vous l'avait dit, alléluia.;
LB_matin;LB_ap10.40-43;;
RB_matin;R/. Hæc dies quam fecit Dóminus: exsultémus et lætémur in ea, allelúia.;R/. Voici le jour que fit le Seigneur, exultons et soyons dans sa joie, alléluia.;
benedictus;"Mitte manum tuam et cognósce loca clavórum; et noli esse incrédulus, sed fidélis, allelúia.";;
oratio_laudes;Deus misericórdiæ sempitérnæ, qui in ipso paschális festi recúrsu fidem sacrátæ tibi plebis accéndis, auge grátiam quam dedísti, ut digna omnes intellegéntia comprehéndant quo lavácro ablúti, quo Spíritu regeneráti, quo sánguine sunt redémpti. Per Dóminum.;<i>Oraison propre</i>;
preces_matin;preces_II;;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Christus surréxit a mórtuis, iam non móritur, allelúia.;Le Christ est ressucité d'entre les morts, à l'instant il ne meurt pas, Alléluia;
ant5;Tráditus est propter delícta nostra, et resurréxit propter iustificatiónem nostram, allelúia.;Il a été livré pour nos offenses, et est ressuscité pour notre justification. Alléluia;Rom IV 25
ant6;Si consurrexístis cum Christo, quæ sursum sunt quærite, allelúia.;Si vous êtes ressuscités avec le Christ, recherchez les choses d'en haut,  Alléluia;Col III 1
LB_3;LB_1 Cor 15, 3b-5;;
RB_3;"V/. Hæc dies quam fecit Dóminus, allelúia. 
R/. Exsultémus et lætémur in ea, allelúia.";"V/. Voici le jour que fit le Seigneur, alléluia.
R/. Exultons et soyons dans la joie, alléluia.";
oratio_3;Deus misericórdiæ sempitérnæ, qui in ipso paschális festi recúrsu fidem sacrátæ tibi plebis accéndis, auge grátiam quam dedísti, ut digna omnes intellegéntia comprehéndant quo lavácro ablúti, quo Spíritu regeneráti, quo sánguine sunt redémpti. Per Dóminum.;vide;
LB_6;LB_Eph 2, 4-6;;
RB_6;"V/. Hæc dies quam fecit Dóminus, allelúia. 
R/. Exsultémus et lætémur in ea, allelúia.";"V/. Voici le jour que fit le Seigneur, alléluia.
R/. Exultons et soyons dans la joie, alléluia.";
oratio_6;Deus misericórdiæ sempitérnæ, qui in ipso paschális festi recúrsu fidem sacrátæ tibi plebis accéndis, auge grátiam quam dedísti, ut digna omnes intellegéntia comprehéndant quo lavácro ablúti, quo Spíritu regeneráti, quo sánguine sunt redémpti. Per Dóminum.;vide;
LB_9;LB_Rom 6, 4;;
RB_9;"V/. Hæc dies quam fecit Dóminus, allelúia. 
R/. Exsultémus et lætémur in ea, allelúia.";"V/. Voici le jour que fit le Seigneur, alléluia.
R/. Exultons et soyons dans la joie, alléluia.";
oratio_9;Deus misericórdiæ sempitérnæ, qui in ipso paschális festi recúrsu fidem sacrátæ tibi plebis accéndis, auge grátiam quam dedísti, ut digna omnes intellegéntia comprehéndant quo lavácro ablúti, quo Spíritu regeneráti, quo sánguine sunt redémpti. Per Dóminum.;vide;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Venérunt ad monuméntum María Magdaléne et áltera María vidére sepúlcrum, allelúia.;Venez, et voyez l'endroit où était posé le Seigneur, alléluia.;
ant8;Veníte, et vidéte locum ubi pósitus erat Dóminus, allelúia.;"Jésus dit : n'ayez pas peur ; allez, annoncez à mes frères que je les attends en Galilée, ils me verront là bas, alléluia.";
ant9;"Ait Iesus: Nolíte timére; ite, nuntiáte frátribus meis ut eant in Galilæam; ibi me vidébitis, allelúia.";"Jésus dit : n'ayez pas peur ; allez, annoncez à mes frères que je les attends en Galilée, ils me verront là bas, alléluia.";
LB_soir;LB_Hebr 10, 12-14;;
RB_soir;R/. Hæc dies quam fecit Dóminus: exsultémus et lætémur in ea, allelúia.;R/. Voici le jour que fit le Seigneur, exultons et soyons dans sa joie, alléluia.;
magnificat;"Quia vidísti me, Thoma, credidísti; beáti qui non vidérunt et credidérunt, allelúia.";;
oratio_vesperas;Deus misericórdiæ sempitérnæ, qui in ipso paschális festi recúrsu fidem sacrátæ tibi plebis accéndis, auge grátiam quam dedísti, ut digna omnes intellegéntia comprehéndant quo lavácro ablúti, quo Spíritu regeneráti, quo sánguine sunt redémpti. Per Dóminum.;<i>Oraison propre</i>;
preces_soir;preces_III
