ant1;Caro mea requiéscet in spe.;Mon corps lui-même repose en sécurité.
ps1;ps15;
ant2;;
ps2;;
LB_comp;LB_1 Th 5, 23;
RB_comp;"R/. In manus tuas, Dómine, * Comméndo spíritum meum. In manus. 
V/. Redemísti nos, Dómine Deus veritátis. * Comméndo spíritum meum. Glória Patri. In manus.";"R/. Entre tes mains, Seigneur, * je remets mon esprit. Entre tes mains.
V/. Tu nous rachètes, Seigneur, Dieu de vérité. * je remets. Gloire au Père. Entre tes mains."
RB_comp_TP;"R/. In manus tuas, Dómine, Comméndo spíritum meum, * Allelúia, allelúia. In manus. 
V/. Redemísti nos, Dómine Deus veritátis. * Allelúia, allelúia. Glória Patri. In manus.";"R/. Entre tes mains, Seigneur, je remets mon esprit. * Alléluia, alléluia. Entre tes mains.
V/. Tu nous rachètes, Seigneur, Dieu de vérité. * Alléluia, alléluia. Gloire au Père. Entre tes mains."
oratio_vesperas;Dómine Deus noster, diúrno labóre fatigátos quiéto sopóre nos réfove, ut, tuo semper auxílio recreáti, tibi córpore simus et mente devóti. Per Christum Dóminum nostrum.;"Seigneur notre Dieu, nous sommes fatigués par le labeur du jour, repose-nous par un sommeil réparateur ; renouvelés de jour en jour par ton aide, nous te servirons par notre corps et notre esprit. Par le Christ Notre Seigneur."
