Antiphona finale ad Beatam Mariam Virginem;Antienne finale à la Bienheureuse Vierge Marie
Ave, Regína cælórum, ;Salut, reine des cieux,
ave, Dómina angelórum, ;Salut, reine des anges !
salve, radix, salve, porta, ;Salut, tige féconde, salut, porte du ciel,
ex qua mundo lux est orta.;Par toi la lumière s’est levée sur le monde.
Gaude, Virgo gloriósa, ;Réjouis-toi Vierge glorieuse,
super omnes speciósa ;Belle entre toutes les femmes,
vale, o valde decóra, ;Salut, splendeur radieuse,
et pro nobis Christum exóra.;Implore le Christ pour nous.
