Lectio brevis (2 Cor 1, 3-4);Lecture brève (2 Cor 1, 3-4)
Benedíctus Deus et Pater Dómini nostri Iesu Christi, Pater misericordiárum et Deus totíus consolatiónis, qui consolátur nos in omni tribulatióne nostra, ut possímus et ipsi consolári eos, qui in omni pressúra sunt, per exhortatiónem, qua exhortámur et ipsi a Deo.;Béni soit Dieu, le Père de notre Seigneur Jésus-Christ, le Père des miséricordes et le Dieu de toute consolation, qui nous console dans toutes nos tribulations, afin que, par la consolation que nous recevons nous-mêmes de lui, nous puissions consoler les autres dans toutes leurs afflictions !




;
