Responsorium breve;Répons bref
R/. Benedíctus es, Dómine,  * In firmaménto cæli. Benedíctus. ;R/. Tu es béni, Seigneur,  * Au firmament du ciel. Tu es béni. 
V/. Et laudábilis et gloriósus in sæcula.  * In firmaménto cæli. Glória Patri. Benedíctus.;V/. Tu es loué et glorifié dans les siècles.  * Au firmament du ciel. Gloire au Père. Tu es.
