jour;20-août;20-août
intitule;S. BERNARDI, ABBATIS ET ECCLESIÆ DOCTORIS;ST. BERNARD, ABBE ET DOCTEUR DE L'EGLISE
rang;Memoria;Mémoire
HYMNUS_laudes;hy_Bernarde gemma caelitum;
benedictus;Bernardus, Doctor mellifluus, amicus Sponsi, Virginis Matris præco mirificus, in clara valle pastor effulsit clarissimus.;
oratio;Deus, qui beatum Bernardum abbatem, zelo domus tuæ succensum, in Ecclesia tua lucere, simul et ardere fecisti, eius nobis: intercessione concede, ut, eodem spiritu ferventes, tamquam filii lucis iugiter ambulemus. Per Dominum.;"Seigneur, tu as voulu que saint Bernard, rempli d’amour pour ton Église, soit dans ta maison la lampe qui brûle et qui éclaire ; accorde-nous, par son intercession, la même ferveur de l’Esprit, afin de vivre comme des fils de la lumière."
HYMNUS_vepres;hy_Bernarde gemma caelitum;
