jour;20-août;20-août
intitule;S. PII X, PAPÆ;ST. PIE X, PAPE
rang;Memoria;Mémoire
oratio;Deus, qui, ad tuendam catholicam fidem et universa in Christo instauranda, sanctum Pium papam cælesti sapientia et apostolica fortitudine replevisti, concede propitius, ut, eius instituta et exempla sectantes, præmia consequamur ætema, Per Dominum.;"Seigneur, pour défendre la foi catholique et fonder toutes choses dans le Christ, tu as comblé le pape saint Pie X de sagesse divine et de courage apostolique ; permets que, dociles à ses instructions et à ses exemples, nous obtenions l’éternelle récompense."
