jour;22-août;22-août
intitule;BEATÆ MARIÆ VIRGINIS REGINÆ;BIENHEUREUSE VIERGE MARIE, REINE
rang;Memoria ad libitum;Mémoire facultative
oratio;"
Deus, qui Filii tui Genetricem nostram constituisti matrem atque reginam, concede propitius, ut, ipsius intercessione suffulti, tuorum in regno cælesti consequamur gloriam filiorum. Per Dominun.";Dieu qui as voulu que la Mère de ton Fils soit notre Mère et notre Reine, fais que, soutenus par son intercession, nous obtenions dans le royaume du ciel la gloire de tes enfants.
benedictus;Regina mundi dignissima, Maria virgo perpetua tu genuisti Christum Dominum, salvatorem omnium.;
magnificat;Beata quæ credidisti, quæ dicta sunt tibi a Dómino: cum Christo regnas in æternum.;
